bentuk_pendidikan,nama,npsn,status,alamat,desa,kecamatan,lintang,bujur
SD,SD No. 1 Abiansemal,50101759,Negeri,Banjar Dirgahayu,Abiansemal,Abiansemal,-8.5518,115.2111
SD,SD No. 1 Abiansemal Dauh Yeh Cani,50101801,Negeri,"Jln. Janger, Br. Kedampal",Dauh Yeh Cani,Abiansemal,-8.524833,115.207967
SD,SD No. 1 Angantaka,50101760,Negeri,Br. Desa,Angantaka,Abiansemal,-8.582,115.2394
SD,SD No. 1 Ayunan,50103546,Negeri,Br Ambengan,Ayunan,Abiansemal,-8.4952,115.1996
SD,SD No. 1 Blahkiuh,50101764,Negeri,"Jl Kendedes Br. Benehkawan, Blahkiuh",Blahkiuh,Abiansemal,-8.5128,115.2066
SD,SD No. 1 Bongkasa,50101765,Negeri,"Br.pengembungan,bongkasa",Bongkasa,Abiansemal,-8.4788,115.2405
SD,SD No. 1 Bongkasa Pertiwi,50101766,Negeri,Br. Tegalkuning,Bongkasa Pertiwi,Abiansemal,-8.4883,115.2388
SD,SD No. 1 Darmasaba,50101800,Negeri,Br Darmasaba,Darmasaba,Abiansemal,-8.5871,115.2041
SD,SD No. 1 Jagapati,50101802,Negeri,Banjar Pasek,Jagapati,Abiansemal,-8.594,115.2413
SD,SD No. 1 Mambal,50101796,Negeri,JALAN RAYA MAMBAL,Mambal,Abiansemal,-8.5509,115.2311
SD,SD No. 1 Mekar Bhuana,50101773,Negeri,Br. Samu,MEKAR BHUANA,Abiansemal,-8.5506,115.2251
SD,SD No. 1 Punggul,50103551,Negeri,Br. Tengah,Punggul,Abiansemal,-8.4996,115.2201
SD,SD No. 1 Sangeh,50101794,Negeri,Br Brahmana,Sangeh,Abiansemal,-8.4871,115.2092
SD,SD No. 1 Sedang,50101795,Negeri,"Jl. Kamboja, Br. Sigaran",Sedang,Abiansemal,-8.5714,115.2392
SD,SD No. 1 Selat,50103553,Negeri,Br. Tegal Selat,Abiansemal,Abiansemal,-8.4927,115.21
SD,SD No. 1 Sibanggede,50101723,Negeri,Br Busana,Sibang Gede,Abiansemal,-8.5773,115.2193
SD,SD No. 1 Sibangkaja,50101724,Negeri,Br Piakan,Sibang Kaja,Abiansemal,-8.5694,115.2189
SD,SD No. 1 Taman,50101726,Negeri,Br. Gunung,Taman,Abiansemal,-8.4857,115.2261
SD,SD No. 2 Abiansemal,50101739,Negeri,Br Juwet,Abiansemal,Abiansemal,-8.5225,115.2169
SD,SD No. 2 Abiansemal Dauh Yeh Cani,50101878,Negeri,Br. Kedampal,Dauh Yeh Cani,Abiansemal,-8.5237,115.2029
SD,SD No. 2 Angantaka,50101740,Negeri,Br. Puseh,Angantaka,Abiansemal,-8.5641,115.2358
SD,SD No. 2 Ayunan,50103559,Negeri,Banjar Badung Tengah,Ayunan,Abiansemal,-8.5065,115.1992
SD,SD No. 2 Blahkiuh,50103560,Negeri,"Br. Ulapan I, Blahkiuh",Blahkiuh,Abiansemal,-8.5172,115.2001
SD,SD No. 2 Bongkasa,50101860,Negeri,Bongkasa,Bongkasa,Abiansemal,-8.5031,115.2326
SD,SD No. 2 Bongkasa Pertiwi,50103561,Negeri,Br. Karang Dalem II,Bongkasa Pertiwi,Abiansemal,-8.4787,115.2408
SD,SD No. 2 Darmasaba,50101877,Negeri,Br Bucu,Darmasaba,Abiansemal,-8.587,115.2039
SD,SD No. 2 Jagapati,50101880,Negeri,"Br. Jabejero, Jagapati",Jagapati,Abiansemal,-8.5862,115.2416
SD,SD No. 2 Mambal,50101863,Negeri,Br. Semana,Mambal,Abiansemal,-8.5311,115.2284
SD,SD No. 2 Mekar Bhuana,50101774,Negeri,Br. Sigaran,MEKAR BHUANA,Abiansemal,-8.5309,115.2197
SD,SD No. 2 Punggul,50103569,Negeri,Br. Kelodan,Punggul,Abiansemal,-8.5035,115.2209
SD,SD No. 2 Sangeh,50101901,Negeri,Br. Tegal Gerana,Sangeh,Abiansemal,-8.4641,115.2117
SD,SD No. 2 Sedang,50101902,Negeri,Br.Sedang Jl Raya Kerasan,Sedang,Abiansemal,-8.5644,115.2346
SD,SD No. 2 Sibanggede,50101905,Negeri,Br. Tagtag,Sibang Gede,Abiansemal,-8.5833,115.2185
SD,SD No. 2 Sibangkaja,50103571,Negeri,Br. Sangging,Sibang Kaja,Abiansemal,-8.5616,115.2189
